[11:49:10.164] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:16.817] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:16.826] Odometry x=0.001565, y=-0.000329, theta=0.017317
[11:49:16.846] Odometry x=0.001655, y=-0.000328, theta=0.014361
[11:49:16.857] Odometry x=0.001655, y=-0.000328, theta=0.012392
[11:49:16.867] Odometry x=0.001655, y=-0.000329, theta=0.010691
[11:49:16.877] Odometry x=0.001655, y=-0.000329, theta=0.009489
[11:49:16.888] Odometry x=0.001655, y=-0.000330, theta=0.008314
[11:49:16.898] Odometry x=0.001655, y=-0.000331, theta=0.007151
[11:49:16.908] Odometry x=0.001655, y=-0.000332, theta=0.006031
[11:49:16.914] Init: px average disparity is:4.369888 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:16.914] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:16.918] Odometry x=0.001655, y=-0.000332, theta=0.004660
[11:49:16.938] Odometry x=0.001743, y=-0.000332, theta=0.001962
[11:49:16.949] Odometry x=0.001743, y=-0.000332, theta=0.000547
[11:49:16.959] Odometry x=0.001743, y=-0.000332, theta=-0.000979
[11:49:16.969] Odometry x=0.001743, y=-0.000332, theta=-0.002369
[11:49:16.979] Odometry x=0.001743, y=-0.000332, theta=-0.004219
[11:49:16.989] Odometry x=0.001743, y=-0.000332, theta=-0.006763
[11:49:17.000] Odometry x=0.001743, y=-0.000332, theta=-0.008534
[11:49:17.010] Odometry x=0.001743, y=-0.000332, theta=-0.011155
[11:49:17.014] Init: px average disparity is:10.408968 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:17.014] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:17.020] Odometry x=0.001743, y=-0.000332, theta=-0.014056
[11:49:17.040] Odometry x=0.001828, y=-0.000334, theta=-0.016544
[11:49:17.051] Odometry x=0.001828, y=-0.000335, theta=-0.018567
[11:49:17.061] Odometry x=0.001828, y=-0.000336, theta=-0.020955
[11:49:17.071] Odometry x=0.001828, y=-0.000336, theta=-0.022636
[11:49:17.081] Odometry x=0.001828, y=-0.000336, theta=-0.024195
[11:49:17.092] Odometry x=0.001827, y=-0.000336, theta=-0.026043
[11:49:17.102] Odometry x=0.001827, y=-0.000336, theta=-0.027873
[11:49:17.112] Odometry x=0.001827, y=-0.000336, theta=-0.029874
[11:49:17.125] Init: px average disparity is:14.199807 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:17.125] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:17.132] Odometry x=0.001903, y=-0.000338, theta=-0.032958
[11:49:17.143] Odometry x=0.001903, y=-0.000338, theta=-0.034942
[11:49:17.153] Odometry x=0.001903, y=-0.000339, theta=-0.035799
[11:49:17.164] Odometry x=0.001903, y=-0.000339, theta=-0.036195
[11:49:17.174] Odometry x=0.001904, y=-0.000340, theta=-0.036523
[11:49:17.184] Odometry x=0.001904, y=-0.000340, theta=-0.036876
[11:49:17.195] Odometry x=0.001904, y=-0.000341, theta=-0.037417
[11:49:17.205] Odometry x=0.001905, y=-0.000341, theta=-0.038045
[11:49:17.215] Odometry x=0.001905, y=-0.000341, theta=-0.038409
[11:49:17.225] Init: px average disparity is:13.978611 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:17.225] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:17.226] Odometry x=0.001905, y=-0.000341, theta=-0.038642
[11:49:17.246] Odometry x=0.002008, y=-0.000345, theta=-0.038786
[11:49:17.257] Odometry x=0.002008, y=-0.000345, theta=-0.038718
[11:49:17.267] Odometry x=0.002008, y=-0.000345, theta=-0.038652
[11:49:17.278] Odometry x=0.002008, y=-0.000345, theta=-0.038705
[11:49:17.288] Odometry x=0.002008, y=-0.000345, theta=-0.038898
[11:49:17.299] Odometry x=0.002008, y=-0.000345, theta=-0.039081
[11:49:17.309] Odometry x=0.002008, y=-0.000345, theta=-0.038877
[11:49:17.319] Odometry x=0.002008, y=-0.000345, theta=-0.038406
[11:49:17.326] Init: px average disparity is:13.410052 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:17.326] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:17.340] Odometry x=0.002092, y=-0.000348, theta=-0.038278
[11:49:17.350] Odometry x=0.002092, y=-0.000349, theta=-0.038274
[11:49:17.361] Odometry x=0.002092, y=-0.000349, theta=-0.038462
[11:49:17.371] Odometry x=0.002092, y=-0.000349, theta=-0.038825
[11:49:17.381] Odometry x=0.002092, y=-0.000349, theta=-0.039041
[11:49:17.392] Odometry x=0.002092, y=-0.000349, theta=-0.038683
[11:49:17.403] Odometry x=0.002092, y=-0.000349, theta=-0.037694
[11:49:17.413] Odometry x=0.002092, y=-0.000349, theta=-0.036492
[11:49:17.423] Odometry x=0.002093, y=-0.000349, theta=-0.035640
[11:49:17.426] Init: px average disparity is:11.958596 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:17.426] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:17.444] Odometry x=0.002182, y=-0.000353, theta=-0.036260
[11:49:17.454] Odometry x=0.002184, y=-0.000353, theta=-0.036830
[11:49:17.464] Odometry x=0.002184, y=-0.000353, theta=-0.037277
[11:49:17.474] Odometry x=0.002184, y=-0.000353, theta=-0.037757
[11:49:17.484] Odometry x=0.002184, y=-0.000354, theta=-0.038061
[11:49:17.495] Odometry x=0.002184, y=-0.000354, theta=-0.038155
[11:49:17.505] Odometry x=0.002184, y=-0.000354, theta=-0.038529
[11:49:17.512] Init: px average disparity is:13.014198 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:17.512] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:17.515] Odometry x=0.002184, y=-0.000354, theta=-0.039289
[11:49:17.525] Odometry x=0.002184, y=-0.000354, theta=-0.040331
[11:49:17.546] Odometry x=0.002275, y=-0.000358, theta=-0.042015
[11:49:17.557] Odometry x=0.002275, y=-0.000358, theta=-0.043131
[11:49:17.567] Odometry x=0.002275, y=-0.000358, theta=-0.043597
[11:49:17.577] Odometry x=0.002275, y=-0.000358, theta=-0.043752
[11:49:17.588] Odometry x=0.002275, y=-0.000358, theta=-0.043990
[11:49:17.598] Odometry x=0.002275, y=-0.000358, theta=-0.044425
[11:49:17.608] Odometry x=0.002275, y=-0.000358, theta=-0.044723
[11:49:17.619] Odometry x=0.002275, y=-0.000358, theta=-0.044979
[11:49:17.625] Init: px average disparity is:13.103636 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:17.625] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:17.639] Odometry x=0.002352, y=-0.000362, theta=-0.044749
[11:49:17.650] Odometry x=0.002352, y=-0.000363, theta=-0.044608
[11:49:17.660] Odometry x=0.002352, y=-0.000363, theta=-0.044584
[11:49:17.671] Odometry x=0.002352, y=-0.000363, theta=-0.044657
[11:49:17.681] Odometry x=0.002352, y=-0.000363, theta=-0.045104
[11:49:17.692] Odometry x=0.002352, y=-0.000363, theta=-0.045647
[11:49:17.702] Odometry x=0.002352, y=-0.000363, theta=-0.046052
[11:49:17.712] Odometry x=0.002352, y=-0.000363, theta=-0.046388
[11:49:17.722] Odometry x=0.002352, y=-0.000363, theta=-0.046731
[11:49:17.726] Init: px average disparity is:12.833996 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:17.726] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:17.744] Odometry x=0.002443, y=-0.000368, theta=-0.047908
[11:49:17.754] Odometry x=0.002443, y=-0.000368, theta=-0.048949
[11:49:17.764] Odometry x=0.002443, y=-0.000368, theta=-0.049846
[11:49:17.774] Odometry x=0.002443, y=-0.000368, theta=-0.051663
[11:49:17.785] Odometry x=0.002443, y=-0.000368, theta=-0.053351
[11:49:17.795] Odometry x=0.002443, y=-0.000368, theta=-0.054163
[11:49:17.805] Odometry x=0.002443, y=-0.000368, theta=-0.055311
[11:49:17.816] Odometry x=0.002443, y=-0.000368, theta=-0.056572
[11:49:17.826] Init: px average disparity is:16.504478 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:17.826] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:17.826] Odometry x=0.002443, y=-0.000368, theta=-0.057888
[11:49:17.847] Odometry x=0.002533, y=-0.000373, theta=-0.059716
[11:49:17.857] Odometry x=0.002533, y=-0.000373, theta=-0.060917
[11:49:17.868] Odometry x=0.002533, y=-0.000373, theta=-0.061794
[11:49:17.878] Odometry x=0.002533, y=-0.000373, theta=-0.062852
[11:49:17.888] Odometry x=0.002533, y=-0.000373, theta=-0.063613
[11:49:17.898] Odometry x=0.002533, y=-0.000373, theta=-0.064213
[11:49:17.909] Odometry x=0.002533, y=-0.000374, theta=-0.064869
[11:49:17.919] Odometry x=0.002533, y=-0.000374, theta=-0.065790
[11:49:17.926] Init: px average disparity is:18.765188 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:17.926] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:17.939] Odometry x=0.002615, y=-0.000381, theta=-0.066983
[11:49:17.950] Odometry x=0.002616, y=-0.000381, theta=-0.067922
[11:49:17.960] Odometry x=0.002616, y=-0.000381, theta=-0.068602
[11:49:17.970] Odometry x=0.002616, y=-0.000381, theta=-0.069507
[11:49:17.981] Odometry x=0.002616, y=-0.000381, theta=-0.070698
[11:49:17.991] Odometry x=0.002616, y=-0.000381, theta=-0.071910
[11:49:18.001] Odometry x=0.002616, y=-0.000381, theta=-0.072915
[11:49:18.011] Odometry x=0.002616, y=-0.000381, theta=-0.073729
[11:49:18.021] Init: px average disparity is:20.702866 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:18.021] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:18.021] Odometry x=0.000999, y=-0.000381, theta=-0.028931
[11:49:18.042] Odometry x=0.001085, y=-0.000384, theta=-0.030734
[11:49:18.052] Odometry x=0.001085, y=-0.000384, theta=-0.031812
[11:49:18.062] Odometry x=0.001085, y=-0.000384, theta=-0.032269
[11:49:18.073] Odometry x=0.001085, y=-0.000384, theta=-0.032616
[11:49:18.083] Odometry x=0.001085, y=-0.000385, theta=-0.033064
[11:49:18.094] Odometry x=0.001085, y=-0.000385, theta=-0.033830
[11:49:18.104] Odometry x=0.001085, y=-0.000385, theta=-0.034677
[11:49:18.114] Odometry x=0.001085, y=-0.000385, theta=-0.035927
[11:49:18.123] Init: px average disparity is:22.579201 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:18.123] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:18.124] Odometry x=0.001085, y=-0.000385, theta=-0.036941
[11:49:18.145] Odometry x=0.001175, y=-0.000388, theta=-0.037693
[11:49:18.155] Odometry x=0.001175, y=-0.000388, theta=-0.038304
[11:49:18.165] Odometry x=0.001175, y=-0.000388, theta=-0.038751
[11:49:18.176] Odometry x=0.001175, y=-0.000388, theta=-0.039066
[11:49:18.186] Odometry x=0.001175, y=-0.000388, theta=-0.039454
[11:49:18.197] Odometry x=0.001175, y=-0.000388, theta=-0.039730
[11:49:18.207] Odometry x=0.001175, y=-0.000388, theta=-0.040066
[11:49:18.217] Odometry x=0.001175, y=-0.000388, theta=-0.040523
[11:49:18.225] Init: px average disparity is:22.926487 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:18.225] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:18.238] Odometry x=0.001253, y=-0.000393, theta=-0.040556
[11:49:18.249] Odometry x=0.001253, y=-0.000393, theta=-0.040516
[11:49:18.259] Odometry x=0.001253, y=-0.000394, theta=-0.040781
[11:49:18.269] Odometry x=0.001253, y=-0.000394, theta=-0.041136
[11:49:18.279] Odometry x=0.001254, y=-0.000394, theta=-0.041774
[11:49:18.290] Odometry x=0.001254, y=-0.000394, theta=-0.042429
[11:49:18.300] Odometry x=0.001254, y=-0.000394, theta=-0.042925
[11:49:18.310] Odometry x=0.001253, y=-0.000393, theta=-0.043526
[11:49:18.320] Odometry x=0.001253, y=-0.000393, theta=-0.043923
[11:49:18.326] Init: px average disparity is:24.272244 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:18.326] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:18.341] Odometry x=0.001338, y=-0.000397, theta=-0.043756
[11:49:18.352] Odometry x=0.001337, y=-0.000397, theta=-0.043859
[11:49:18.362] Odometry x=0.001337, y=-0.000398, theta=-0.044199
[11:49:18.372] Odometry x=0.001337, y=-0.000398, theta=-0.044444
[11:49:18.383] Odometry x=0.001337, y=-0.000398, theta=-0.044438
[11:49:18.393] Odometry x=0.001337, y=-0.000398, theta=-0.044371
[11:49:18.404] Odometry x=0.001337, y=-0.000398, theta=-0.044338
[11:49:18.414] Odometry x=0.001337, y=-0.000398, theta=-0.044399
[11:49:18.424] Odometry x=0.001337, y=-0.000398, theta=-0.044072
[11:49:18.426] Init: px average disparity is:22.373971 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:18.426] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:18.435] Odometry x=0.001337, y=-0.000398, theta=-0.043374
[11:49:18.455] Odometry x=0.001441, y=-0.000403, theta=-0.040561
[11:49:18.465] Odometry x=0.001441, y=-0.000403, theta=-0.038577
[11:49:18.476] Odometry x=0.001441, y=-0.000403, theta=-0.037109
[11:49:18.486] Odometry x=0.001441, y=-0.000403, theta=-0.035683
[11:49:18.496] Odometry x=0.001441, y=-0.000403, theta=-0.034723
[11:49:18.506] Odometry x=0.001441, y=-0.000403, theta=-0.033227
[11:49:18.517] Odometry x=0.001441, y=-0.000404, theta=-0.031698
[11:49:18.527] Init: px average disparity is:17.432403 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:18.527] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:18.537] Odometry x=0.001509, y=-0.000407, theta=-0.028753
[11:49:18.547] Odometry x=0.001509, y=-0.000408, theta=-0.026751
[11:49:18.557] Odometry x=0.001509, y=-0.000408, theta=-0.025404
[11:49:18.568] Odometry x=0.001509, y=-0.000408, theta=-0.024181
[11:49:18.578] Odometry x=0.001509, y=-0.000408, theta=-0.023171
[11:49:18.589] Odometry x=0.001509, y=-0.000409, theta=-0.022363
[11:49:18.599] Odometry x=0.001509, y=-0.000409, theta=-0.021181
[11:49:18.609] Odometry x=0.001509, y=-0.000409, theta=-0.019976
[11:49:18.616] Init: px average disparity is:13.361799 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:18.616] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:18.619] Odometry x=0.001509, y=-0.000409, theta=-0.019031
[11:49:18.640] Odometry x=0.001600, y=-0.000410, theta=-0.016800
[11:49:18.650] Odometry x=0.001600, y=-0.000411, theta=-0.015210
[11:49:18.660] Odometry x=0.001600, y=-0.000411, theta=-0.014031
[11:49:18.671] Odometry x=0.001600, y=-0.000411, theta=-0.012873
[11:49:18.681] Odometry x=0.001600, y=-0.000411, theta=-0.011721
[11:49:18.691] Odometry x=0.001600, y=-0.000411, theta=-0.010873
[11:49:18.702] Odometry x=0.001600, y=-0.000411, theta=-0.009224
[11:49:18.712] Odometry x=0.001600, y=-0.000411, theta=-0.007403
[11:49:18.722] Odometry x=0.001600, y=-0.000412, theta=-0.005774
[11:49:18.726] Init: px average disparity is:8.888007 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:18.726] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:18.743] Odometry x=0.001686, y=-0.000415, theta=-0.003353
[11:49:18.753] Odometry x=0.001686, y=-0.000416, theta=-0.001565
[11:49:18.764] Odometry x=0.001686, y=-0.000417, theta=-0.000464
[11:49:18.774] Odometry x=0.001686, y=-0.000417, theta=0.000856
[11:49:18.785] Odometry x=0.001686, y=-0.000417, theta=0.002249
[11:49:18.795] Odometry x=0.001686, y=-0.000417, theta=0.003189
[11:49:18.805] Odometry x=0.001686, y=-0.000417, theta=0.004833
[11:49:18.815] Odometry x=0.001686, y=-0.000417, theta=0.006467
[11:49:18.826] Odometry x=0.001686, y=-0.000417, theta=0.007690
[11:49:18.826] Init: px average disparity is:6.466756 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:18.826] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:18.836] Odometry x=0.001686, y=-0.000418, theta=0.008492
[11:49:18.857] Odometry x=0.001785, y=-0.000418, theta=0.007780
[11:49:18.868] Odometry x=0.001785, y=-0.000418, theta=0.007087
[11:49:18.878] Odometry x=0.001785, y=-0.000418, theta=0.006414
[11:49:18.889] Odometry x=0.001785, y=-0.000418, theta=0.005817
[11:49:18.899] Odometry x=0.001785, y=-0.000418, theta=0.005261
[11:49:18.909] Odometry x=0.001785, y=-0.000418, theta=0.004898
[11:49:18.920] Odometry x=0.001785, y=-0.000419, theta=0.004491
[11:49:18.926] Init: px average disparity is:7.021036 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:18.927] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:18.940] Odometry x=0.001857, y=-0.000418, theta=0.003420
[11:49:18.950] Odometry x=0.001856, y=-0.000418, theta=0.002466
[11:49:18.960] Odometry x=0.001856, y=-0.000418, theta=0.002283
[11:49:18.971] Odometry x=0.001856, y=-0.000418, theta=0.002360
[11:49:18.981] Odometry x=0.001857, y=-0.000418, theta=0.002265
[11:49:18.991] Odometry x=0.001857, y=-0.000419, theta=0.002011
[11:49:19.001] Odometry x=0.001857, y=-0.000419, theta=0.001830
[11:49:19.012] Odometry x=0.001857, y=-0.000419, theta=0.001751
[11:49:19.022] Odometry x=0.001857, y=-0.000420, theta=0.001444
[11:49:19.030] Init: px average disparity is:7.100180 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:19.030] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:19.042] Odometry x=0.001948, y=-0.000423, theta=0.000301
[11:49:19.052] Odometry x=0.001948, y=-0.000424, theta=-0.000408
[11:49:19.063] Odometry x=0.001948, y=-0.000424, theta=-0.000868
[11:49:19.073] Odometry x=0.001948, y=-0.000424, theta=-0.001457
[11:49:19.083] Odometry x=0.001948, y=-0.000424, theta=-0.002182
[11:49:19.093] Odometry x=0.001948, y=-0.000424, theta=-0.002932
[11:49:19.104] Odometry x=0.001948, y=-0.000424, theta=-0.003451
[11:49:19.113] Init: px average disparity is:7.091881 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:19.113] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:19.114] Odometry x=0.001948, y=-0.000424, theta=-0.003718
[11:49:19.125] Odometry x=0.001948, y=-0.000424, theta=-0.003944
[11:49:19.145] Odometry x=0.002034, y=-0.000425, theta=-0.005147
[11:49:19.155] Odometry x=0.002034, y=-0.000425, theta=-0.005968
[11:49:19.165] Odometry x=0.002034, y=-0.000425, theta=-0.006330
[11:49:19.176] Odometry x=0.002034, y=-0.000425, theta=-0.006993
[11:49:19.186] Odometry x=0.002034, y=-0.000425, theta=-0.007646
[11:49:19.196] Odometry x=0.002034, y=-0.000425, theta=-0.007976
[11:49:19.207] Odometry x=0.002034, y=-0.000425, theta=-0.008403
[11:49:19.217] Odometry x=0.002034, y=-0.000425, theta=-0.008985
[11:49:19.226] Init: px average disparity is:8.568227 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:19.226] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:19.227] Odometry x=0.002034, y=-0.000425, theta=-0.009713
[11:49:19.248] Odometry x=0.002124, y=-0.000426, theta=-0.011906
[11:49:19.259] Odometry x=0.002124, y=-0.000427, theta=-0.013394
[11:49:19.269] Odometry x=0.002124, y=-0.000427, theta=-0.014492
[11:49:19.280] Odometry x=0.002124, y=-0.000427, theta=-0.015705
[11:49:19.290] Odometry x=0.002125, y=-0.000427, theta=-0.017236
[11:49:19.301] Odometry x=0.002125, y=-0.000427, theta=-0.018243
[11:49:19.311] Odometry x=0.002125, y=-0.000427, theta=-0.019394
[11:49:19.321] Odometry x=0.002125, y=-0.000427, theta=-0.020633
[11:49:19.326] Init: px average disparity is:11.297342 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:19.326] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:19.342] Odometry x=0.002207, y=-0.000429, theta=-0.022556
[11:49:19.353] Odometry x=0.002207, y=-0.000429, theta=-0.024150
[11:49:19.363] Odometry x=0.002207, y=-0.000429, theta=-0.025003
[11:49:19.373] Odometry x=0.002207, y=-0.000430, theta=-0.026309
[11:49:19.384] Odometry x=0.002207, y=-0.000430, theta=-0.027639
[11:49:19.394] Odometry x=0.002207, y=-0.000431, theta=-0.028840
[11:49:19.405] Odometry x=0.002207, y=-0.000431, theta=-0.030462
[11:49:19.415] Odometry x=0.002207, y=-0.000431, theta=-0.032183
[11:49:19.425] Odometry x=0.002207, y=-0.000431, theta=-0.033870
[11:49:19.428] Init: px average disparity is:14.728075 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:19.428] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:19.446] Odometry x=0.002294, y=-0.000434, theta=-0.036444
[11:49:19.456] Odometry x=0.002294, y=-0.000434, theta=-0.038227
[11:49:19.466] Odometry x=0.002294, y=-0.000434, theta=-0.039362
[11:49:19.477] Odometry x=0.002294, y=-0.000434, theta=-0.040311
[11:49:19.487] Odometry x=0.002294, y=-0.000434, theta=-0.041171
[11:49:19.497] Odometry x=0.002294, y=-0.000434, theta=-0.042216
[11:49:19.507] Odometry x=0.002294, y=-0.000434, theta=-0.043369
[11:49:19.518] Odometry x=0.002294, y=-0.000434, theta=-0.044569
[11:49:19.525] Init: px average disparity is:18.266471 ,While minimum is: 40.000000  KLT tracked : 95
[11:49:19.525] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:19.538] Odometry x=0.002374, y=-0.000438, theta=-0.048302
[11:49:19.548] Odometry x=0.002374, y=-0.000438, theta=-0.051324
[11:49:19.558] Odometry x=0.002374, y=-0.000439, theta=-0.053979
[11:49:19.568] Odometry x=0.002374, y=-0.000439, theta=-0.056551
[11:49:19.579] Odometry x=0.002374, y=-0.000439, theta=-0.058787
[11:49:19.589] Odometry x=0.002374, y=-0.000439, theta=-0.060691
[11:49:19.599] Odometry x=0.002374, y=-0.000439, theta=-0.062702
[11:49:19.609] Odometry x=0.002374, y=-0.000439, theta=-0.064572
[11:49:19.613] Init: px average disparity is:24.005792 ,While minimum is: 40.000000  KLT tracked : 94
[11:49:19.613] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:19.620] Odometry x=0.002374, y=-0.000439, theta=-0.065782
[11:49:19.640] Odometry x=0.002459, y=-0.000445, theta=-0.070292
[11:49:19.651] Odometry x=0.002459, y=-0.000446, theta=-0.074349
[11:49:19.661] Odometry x=0.002459, y=-0.000446, theta=-0.076471
[11:49:19.671] Odometry x=0.002459, y=-0.000447, theta=-0.079422
[11:49:19.682] Odometry x=0.002459, y=-0.000447, theta=-0.082804
[11:49:19.692] Odometry x=0.002459, y=-0.000447, theta=-0.085847
[11:49:19.702] Odometry x=0.002459, y=-0.000447, theta=-0.088055
[11:49:19.713] Odometry x=0.002459, y=-0.000447, theta=-0.092457
[11:49:19.723] Odometry x=0.002459, y=-0.000447, theta=-0.096066
[11:49:19.725] Init: px average disparity is:34.651016 ,While minimum is: 40.000000  KLT tracked : 94
[11:49:19.726] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:19.744] Odometry x=0.000092, y=-0.000447, theta=-0.008274
[11:49:19.754] Odometry x=0.000092, y=-0.000447, theta=-0.013971
[11:49:19.765] Odometry x=0.000092, y=-0.000447, theta=-0.016548
[11:49:19.775] Odometry x=0.000092, y=-0.000447, theta=-0.019059
[11:49:19.786] Odometry x=0.000093, y=-0.000447, theta=-0.022774
[11:49:19.796] Odometry x=0.000093, y=-0.000447, theta=-0.025630
[11:49:19.807] Odometry x=0.000093, y=-0.000447, theta=-0.027678
[11:49:19.817] Odometry x=0.000093, y=-0.000447, theta=-0.029588
[11:49:19.825] Init: px average disparity is:39.955892 ,While minimum is: 40.000000  KLT tracked : 94
[11:49:19.826] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:19.837] Odometry x=0.000174, y=-0.000450, theta=-0.031291
[11:49:19.848] Odometry x=0.000174, y=-0.000450, theta=-0.033990
[11:49:19.858] Odometry x=0.000174, y=-0.000450, theta=-0.036118
[11:49:19.869] Odometry x=0.000174, y=-0.000450, theta=-0.037820
[11:49:19.879] Odometry x=0.000174, y=-0.000449, theta=-0.041109
[11:49:19.889] Odometry x=0.000174, y=-0.000449, theta=-0.044724
[11:49:19.900] Odometry x=0.000174, y=-0.000449, theta=-0.046953
[11:49:19.910] Odometry x=0.000174, y=-0.000449, theta=-0.050844
[11:49:19.920] Odometry x=0.000174, y=-0.000450, theta=-0.054847
[11:49:19.941] Odometry x=0.000270, y=-0.000455, theta=-0.058324
[11:49:19.951] Odometry x=0.000270, y=-0.000455, theta=-0.060707
[11:49:19.961] Odometry x=0.000270, y=-0.000455, theta=-0.061839
[11:49:19.971] Odometry x=0.000270, y=-0.000455, theta=-0.063260
[11:49:19.976] homography: x=4815.389686 y=2521.754912 z=-14.143430 roll=-0.000000 pitch=-3.131831 yaw=-0.000000 	 ekf: x=0.000270 z=-0.000455 pitch=-0.063260
[11:49:19.976] homography after fuse: x=0.000270 y=0.000000 z=-0.000455 pitch=-0.063260	 number of outlier: 14
[11:49:19.976] Init finished: Homography RANSAC (inlier) is:80 ,While 30 inliers minimum required.  px average disparity is:47.133351 ,While minimum is: 40.000000  KLT tracked: 94
[11:49:19.976] Init: distance between the first and current frame is x:0.000270 ,z=-0.000455,angle between two frames: -0.063260 
[11:49:19.976] Init: Selected Second frame. 	 The number of features: 80
[11:49:19.981] Odometry x=0.000270, y=-0.000455, theta=-0.065145
[11:49:19.992] Odometry x=0.000270, y=-0.000454, theta=-0.066996
[11:49:20.002] Odometry x=0.000271, y=-0.000454, theta=-0.068530
[11:49:20.012] Odometry x=0.000271, y=-0.000454, theta=-0.069403
[11:49:20.022] Odometry x=0.000271, y=-0.000454, theta=-0.070297
[11:49:20.042] Odometry x=0.000349, y=-0.000459, theta=-0.071699
[11:49:20.052] Odometry x=0.000349, y=-0.000459, theta=-0.072772
[11:49:20.063] Odometry x=0.000350, y=-0.000459, theta=-0.073631
[11:49:20.073] Odometry x=0.000351, y=-0.000459, theta=-0.074091
[11:49:20.082] After Reprojection Map nPoint:52 ,nCell:49 ,nMatches:6 ,distance between two frames x:-0.000001 ,z=-0.000002,angle between two frames:0.005437
[11:49:20.082] n deleted obs = 2 	 n obs with reprojection error less than 0.5 px =4 	 error init =0.400160 	 error end=0.400160
